scheme:hasVerticalResolutionInMeters	rdfs:label	has Vertical Resolution In Meters	@en
scheme:hasGeoLocationDescription	rdfs:label	has Geo Location Description	@en
scheme:hasPolygonPointLongitude	rdfs:label	has Polygon Point Longitude	@en
scheme:hasPolygonPointLatitude	rdfs:label	has Polygon Point Latitude	@en
scheme:hasNorthBoundLatitude	rdfs:label	has North Bound Latitude	@en
scheme:hasSouthBoundLatitude	rdfs:label	has South Bound Latitude	@en
scheme:hasEastBoundLongitude	rdfs:label	has East Bound Longitude	@en
scheme:hasWestBoundLongitude	rdfs:label	has West Bound Longitude	@en
scheme:hasPointLongitude	rdfs:label	has Point Longitude	@en
scheme:hasPointLatitude	rdfs:label	has Point Latitude	@en
scheme:hasVariableSchemeIRI	rdfs:label	has Variable Scheme IRI	@en
scheme:hasVariableScheme	rdfs:label	has Variable Scheme	@en
scheme:hasVariableIRI	rdfs:label	has Variable IRI	@en
scheme:hasVariable	rdfs:label	has Variable	@en
scheme:hasDataSourceSchemeIRI	rdfs:label	has Data Source Scheme IRI	@en
scheme:hasDataSourceScheme	rdfs:label	has Data Source Scheme	@en
scheme:hasDataSourceIRI	rdfs:label	has Data Source IRI	@en
scheme:hasDataSource	rdfs:label	has Data Source	@en
scheme:hasDataStreamSchemeIRI	rdfs:label	has Data Stream Scheme IRI	@en
scheme:hasDataStreamScheme	rdfs:label	has Data Stream Scheme	@en
scheme:hasDataStreamIRI	rdfs:label	has Data Stream IRI	@en
scheme:hasDataStream	rdfs:label	has Data Stream	@en
scheme:hasDistributorType	rdfs:label	has Distributor Type	@en
scheme:hasDistributorRole	rdfs:label	has Distributor Role	@en
scheme:hasDistributorAffiliationIdentifierSchemeIRI	rdfs:label	has Distributor Affiliation Identifier Scheme IRI	@en
scheme:hasDistributorAffiliationIdentifierScheme	rdfs:label	has Distributor Affiliation Identifier Scheme	@en
scheme:hasDistributorAffiliationIdentifier	rdfs:label	has Distributor Affiliation Identifier	@en
scheme:hasDistributorAffiliation	rdfs:label	has Distributor Affiliation	@en
scheme:hasDistributorIdentifierSchemeIRI	rdfs:label	has Distributor Identifier Scheme IRI	@en
scheme:hasDistributorIdentifierScheme	rdfs:label	has Distributor Identifier Scheme	@en
scheme:hasDistributorIdentifier	rdfs:label	has Distributor Identifier	@en
scheme:hasDistributionDate	rdfs:label	has Distribution Date	@en
scheme:hasDistributionQueryStatement	rdfs:label	has Distribution Query Statement	@en
scheme:hasDistributionAccessConfiguration	rdfs:label	has Distribution Access Configuration	@en
scheme:hasDistributionAccessProtocol	rdfs:label	has Distribution Access Protocol	@en
scheme:hasDistributionSize	rdfs:label	has Distribution Size	@en
scheme:hasDistributionMediaType	rdfs:label	has Distribution Media Type	@en
scheme:hasDistributionIdentifierType	rdfs:label	has Distribution Identifier Type	@en
scheme:hasDistributionIdentifier	rdfs:label	has Distribution Identifier	@en
scheme:hasDatasetDateType	rdfs:label	has Dataset Date Type	@en
scheme:hasDatasetDate	rdfs:label	has Dataset Date	@en
scheme:hasLicenseIdentifierSchemeIRI	rdfs:label	has License Identifier Scheme IRI	@en
scheme:hasLicenseIdentifierScheme	rdfs:label	has License Identifier Scheme	@en
scheme:hasLicenseIdentifier	rdfs:label	has License Identifier	@en
scheme:hasLicenseName	rdfs:label	has License Name	@en
scheme:hasPublisherAddress	rdfs:label	has Publisher Address	@en
scheme:hasPublisherIdentifierSchemeIRI	rdfs:label	has Publisher Identifier Scheme IRI	@en
scheme:hasPublisherIdentifierScheme	rdfs:label	has Publisher Identifier Scheme	@en
scheme:hasPublisherIdentifier	rdfs:label	has Publisher Identifier	@en
scheme:hasContributorType	rdfs:label	has Contributor Type	@en
scheme:hasContributorRole	rdfs:label	has Contributor Role	@en
scheme:hasContributorAffiliationIdentifierSchemeIRI	rdfs:label	has Contributor Affiliation Identifier Scheme IRI	@en
scheme:hasContributorAffiliationIdentifierScheme	rdfs:label	has Contributor Affiliation Identifier Scheme	@en
scheme:hasContributorAffiliationIdentifier	rdfs:label	has Contributor Affiliation Identifier	@en
scheme:hasContributorAffiliation	rdfs:label	has Contributor Affiliation	@en
scheme:hasContributorIdentifierSchemeIRI	rdfs:label	has Contributor Identifier Scheme IRI	@en
scheme:hasContributorIdentifierScheme	rdfs:label	has Contributor Identifier Scheme	@en
scheme:hasContributorIdentifier	rdfs:label	has Contributor Identifier	@en
scheme:hasCreatorType	rdfs:label	has Creator Type	@en
scheme:hasCreatorRole	rdfs:label	has Creator Role	@en
scheme:hasCreatorAffiliationIdentifierSchemeIRI	rdfs:label	has Creator Affiliation Identifier Scheme IRI	@en
scheme:hasCreatorAffiliationIdentifierScheme	rdfs:label	has Creator Affiliation Identifier Scheme	@en
scheme:hasCreatorAffiliationIdentifier	rdfs:label	has Creator Affiliation Identifier	@en
scheme:hasCreatorAffiliation	rdfs:label	has Creator Affiliation	@en
scheme:hasCreatorIdentifierSchemeIRI	rdfs:label	has Creator Identifier Scheme IRI	@en
scheme:hasCreatorIdentifierScheme	rdfs:label	has Creator Identifier Scheme	@en
scheme:hasCreatorIdentifier	rdfs:label	has Creator Identifier	@en
scheme:hasKeyword	rdfs:label	has Keyword	@en
