scheme:hasVerticalResolutionInMeters	skos:prefLabel	has Vertical Resolution In Meters	@en
scheme:hasGeoLocationDescription	skos:prefLabel	has Geo Location Description	@en
scheme:hasPolygonPointLongitude	skos:prefLabel	has Polygon Point Longitude	@en
scheme:hasPolygonPointLatitude	skos:prefLabel	has Polygon Point Latitude	@en
scheme:hasNorthBoundLatitude	skos:prefLabel	has North Bound Latitude	@en
scheme:hasSouthBoundLatitude	skos:prefLabel	has South Bound Latitude	@en
scheme:hasEastBoundLongitude	skos:prefLabel	has East Bound Longitude	@en
scheme:hasWestBoundLongitude	skos:prefLabel	has West Bound Longitude	@en
scheme:hasPointLongitude	skos:prefLabel	has Point Longitude	@en
scheme:hasPointLatitude	skos:prefLabel	has Point Latitude	@en
scheme:hasVariableSchemeIRI	skos:prefLabel	has Variable Scheme IRI	@en
scheme:hasVariableScheme	skos:prefLabel	has Variable Scheme	@en
scheme:hasVariableIRI	skos:prefLabel	has Variable IRI	@en
scheme:hasVariable	skos:prefLabel	has Variable	@en
scheme:hasDataSourceSchemeIRI	skos:prefLabel	has Data Source Scheme IRI	@en
scheme:hasDataSourceScheme	skos:prefLabel	has Data Source Scheme	@en
scheme:hasDataSourceIRI	skos:prefLabel	has Data Source IRI	@en
scheme:hasDataSource	skos:prefLabel	has Data Source	@en
scheme:hasDataStreamSchemeIRI	skos:prefLabel	has Data Stream Scheme IRI	@en
scheme:hasDataStreamScheme	skos:prefLabel	has Data Stream Scheme	@en
scheme:hasDataStreamIRI	skos:prefLabel	has Data Stream IRI	@en
scheme:hasDataStream	skos:prefLabel	has Data Stream	@en
scheme:hasDistributorType	skos:prefLabel	has Distributor Type	@en
scheme:hasDistributorRole	skos:prefLabel	has Distributor Role	@en
scheme:hasDistributorAffiliationIdentifierSchemeIRI	skos:prefLabel	has Distributor Affiliation Identifier Scheme IRI	@en
scheme:hasDistributorAffiliationIdentifierScheme	skos:prefLabel	has Distributor Affiliation Identifier Scheme	@en
scheme:hasDistributorAffiliationIdentifier	skos:prefLabel	has Distributor Affiliation Identifier	@en
scheme:hasDistributorAffiliation	skos:prefLabel	has Distributor Affiliation	@en
scheme:hasDistributorIdentifierSchemeIRI	skos:prefLabel	has Distributor Identifier Scheme IRI	@en
scheme:hasDistributorIdentifierScheme	skos:prefLabel	has Distributor Identifier Scheme	@en
scheme:hasDistributorIdentifier	skos:prefLabel	has Distributor Identifier	@en
scheme:hasDistributionDate	skos:prefLabel	has Distribution Date	@en
scheme:hasDistributionQueryStatement	skos:prefLabel	has Distribution Query Statement	@en
scheme:hasDistributionAccessConfiguration	skos:prefLabel	has Distribution Access Configuration	@en
scheme:hasDistributionAccessProtocol	skos:prefLabel	has Distribution Access Protocol	@en
scheme:hasDistributionSize	skos:prefLabel	has Distribution Size	@en
scheme:hasDistributionMediaType	skos:prefLabel	has Distribution Media Type	@en
scheme:hasDistributionIdentifierType	skos:prefLabel	has Distribution Identifier Type	@en
scheme:hasDistributionIdentifier	skos:prefLabel	has Distribution Identifier	@en
scheme:hasDatasetDateType	skos:prefLabel	has Dataset Date Type	@en
scheme:hasDatasetDate	skos:prefLabel	has Dataset Date	@en
scheme:hasLicenseIdentifier	skos:prefLabel	has License Identifier	@en
scheme:hasLicenseName	skos:prefLabel	has License Name	@en
scheme:hasPublisherAddress	skos:prefLabel	has Publisher Address	@en
scheme:hasPublisherIdentifierSchemeIRI	skos:prefLabel	has Publisher Identifier Scheme IRI	@en
scheme:hasPublisherIdentifierScheme	skos:prefLabel	has Publisher Identifier Scheme	@en
scheme:hasPublisherIdentifier	skos:prefLabel	has Publisher Identifier	@en
scheme:hasContributorType	skos:prefLabel	has Contributor Type	@en
scheme:hasContributorRole	skos:prefLabel	has Contributor Role	@en
scheme:hasContributorAffiliationIdentifierSchemeIRI	skos:prefLabel	has Contributor Affiliation Identifier Scheme IRI	@en
scheme:hasContributorAffiliationIdentifierScheme	skos:prefLabel	has Contributor Affiliation Identifier Scheme	@en
scheme:hasContributorAffiliationIdentifier	skos:prefLabel	has Contributor Affiliation Identifier	@en
scheme:hasContributorAffiliation	skos:prefLabel	has Contributor Affiliation	@en
scheme:hasContributorIdentifierSchemeIRI	skos:prefLabel	has Contributor Identifier Scheme IRI	@en
scheme:hasContributorIdentifierScheme	skos:prefLabel	has Contributor Identifier Scheme	@en
scheme:hasContributorIdentifier	skos:prefLabel	has Contributor Identifier	@en
scheme:hasCreatorType	skos:prefLabel	has Creator Type	@en
scheme:hasCreatorRole	skos:prefLabel	has Creator Role	@en
