Value	Label	Hierarchy Relation	Provisional
ID	LABEL	A skos:broader	AT DHMO:1000000^^xsd:boolean
DHMO:008001	NCATS	DHMO:0008000	true
DHMO:008002	NCCIH	DHMO:0008000	true
DHMO:008003	NCI	DHMO:0008000	true
DHMO:008004	NDA	DHMO:0008000	true
DHMO:008005	NEI	DHMO:0008000	true
DHMO:008006	NHGRI	DHMO:0008000	true
DHMO:008007	NHLBI	DHMO:0008000	true
DHMO:008008	NIA	DHMO:0008000	true
DHMO:008009	NIAAA	DHMO:0008000	true
DHMO:008010	NIAID	DHMO:0008000	true
DHMO:008011	NIAMS	DHMO:0008000	true
DHMO:008012	NIBIB	DHMO:0008000	true
DHMO:008013	NICHD	DHMO:0008000	true
DHMO:008014	NIDA	DHMO:0008000	true
DHMO:008015	NIDCD	DHMO:0008000	true
DHMO:008016	NIDCR	DHMO:0008000	true
DHMO:008017	NIDDK	DHMO:0008000	true
DHMO:008018	NIEHS	DHMO:0008000	true
DHMO:008019	NIGMS	DHMO:0008000	true
DHMO:008020	NIH OD	DHMO:0008000	true
DHMO:008021	NIMH	DHMO:0008000	true
DHMO:008022	NIMHD	DHMO:0008000	true
DHMO:008023	NINDS	DHMO:0008000	true
DHMO:008024	NINR	DHMO:0008000	true
DHMO:008025	NIH CC	DHMO:0008000	true
DHMO:008026	NLM	DHMO:0008000	true
